total number of analysis:364378 
total number of analysis until best:315070 
top-scored iteration: 4320 

Microsoft Windows [Version 10.0.22000.613]
(c) Microsoft Corporation. All rights reserved.

C:\Users\dream\Documents\Research\RL_Construction\20220428>python Train.py
C:\Users\dream\anaconda3\lib\site-packages\torch\nn\init.py:388: UserWarning: Initializing zero-element tensors is a no-op
  warnings.warn("Initializing zero-element tensors is a no-op")
episode 0   : step=89  reward=-521.0 aveQ=-1.02   loss=nan
episode 1   : step=55  reward=-257.0 aveQ=-8.74   loss=318.51
episode 2   : step=68  reward=-379.0 aveQ=-16.31  loss=234.57
episode 3   : step=68  reward=-325.0 aveQ=-35.66  loss=107.30
episode 4   : step=68  reward=-389.0 aveQ=-45.63  loss=94.86
episode 5   : step=55  reward=-211.0 aveQ=-47.59  loss=46.71
episode 6   : step=55  reward=-232.0 aveQ=-59.30  loss=133.25
episode 7   : step=55  reward=-254.0 aveQ=-58.32  loss=90.73
episode 8   : step=89  reward=-432.0 aveQ=-102.42 loss=92.92
episode 9   : step=42  reward=-117.0 aveQ=-74.74  loss=144.25
episode 10  : step=55  reward=-231.0 aveQ=-89.80  loss=84.16
episode 11  : step=42  reward=-89.0 aveQ=-84.83  loss=181.52
episode 12  : step=55  reward=-179.0 aveQ=-99.93  loss=127.47
episode 13  : step=42  reward=-151.0 aveQ=-90.83  loss=192.09
episode 14  : step=89  reward=-575.0 aveQ=-160.33 loss=176.63
episode 15  : step=110 reward=-719.0 aveQ=-226.03 loss=179.06
episode 16  : step=55  reward=-160.0 aveQ=-71.27  loss=168.49
episode 17  : step=55  reward=-171.0 aveQ=-86.26  loss=236.93
episode 18  : step=68  reward=-194.0 aveQ=-89.23  loss=209.37
episode 19  : step=89  reward=-421.0 aveQ=-108.77 loss=186.79
episode 20  : step=55  reward=-168.0 aveQ=-93.04  loss=201.64
episode 21  : step=55  reward=-240.0 aveQ=-98.34  loss=189.29
episode 22  : step=72  reward=-411.0 aveQ=-137.73 loss=189.53
episode 23  : step=72  reward=-451.0 aveQ=-119.79 loss=191.72
episode 24  : step=72  reward=-482.0 aveQ=-135.07 loss=199.81
episode 25  : step=68  reward=-329.0 aveQ=-133.34 loss=227.84
episode 26  : step=89  reward=-774.0 aveQ=-158.73 loss=204.64
episode 27  : step=89  reward=-896.0 aveQ=-171.66 loss=225.79
episode 28  : step=55  reward=-288.0 aveQ=-143.56 loss=229.00
episode 29  : step=42  reward=-156.0 aveQ=-121.85 loss=194.88
episode 30  : step=89  reward=-858.0 aveQ=-210.91 loss=217.85
episode 31  : step=68  reward=-505.0 aveQ=-180.62 loss=206.27
episode 32  : step=42  reward=-157.0 aveQ=-130.32 loss=222.27
episode 33  : step=55  reward=-390.0 aveQ=-154.80 loss=214.54
episode 34  : step=72  reward=-482.0 aveQ=-192.38 loss=192.48
episode 35  : step=68  reward=-564.0 aveQ=-184.88 loss=183.47
episode 36  : step=55  reward=-354.0 aveQ=-161.98 loss=226.20
episode 37  : step=68  reward=-560.0 aveQ=-195.69 loss=199.89
episode 38  : step=89  reward=-797.0 aveQ=-248.35 loss=171.88
episode 39  : step=89  reward=-732.0 aveQ=-258.82 loss=192.69
episode 40  : step=89  reward=-1012.0 aveQ=-258.00 loss=190.84
episode 41  : step=110 reward=-1281.0 aveQ=-307.08 loss=169.42
episode 42  : step=72  reward=-645.0 aveQ=-219.19 loss=179.89
episode 43  : step=72  reward=-538.0 aveQ=-227.45 loss=196.92
episode 44  : step=55  reward=-277.0 aveQ=-191.27 loss=157.63
episode 45  : step=72  reward=-563.0 aveQ=-233.79 loss=202.93
episode 46  : step=110 reward=-1260.0 aveQ=-364.48 loss=191.03
episode 47  : step=68  reward=-421.0 aveQ=-250.97 loss=146.06
episode 48  : step=68  reward=-447.0 aveQ=-250.49 loss=174.77
episode 49  : step=42  reward=-230.0 aveQ=-170.33 loss=177.92
episode 50  : step=110 reward=-946.0 aveQ=-400.11 loss=139.06
episode 51  : step=89  reward=-395.0 aveQ=-323.32 loss=137.05
episode 52  : step=55  reward=-322.0 aveQ=-223.67 loss=126.84
episode 53  : step=72  reward=-352.0 aveQ=-285.51 loss=137.50
episode 54  : step=110 reward=-215.0 aveQ=-373.84 loss=124.83
episode 55  : step=55  reward=-105.0 aveQ=-203.54 loss=127.89
episode 56  : step=55  reward=-42.0 aveQ=-189.13 loss=140.07
episode 57  : step=89  reward=-160.0 aveQ=-312.58 loss=137.61
episode 58  : step=72  reward=-95.0 aveQ=-259.86 loss=145.40
episode 59  : step=89  reward=-30.0 aveQ=-290.81 loss=136.91
episode 60  : step=89  reward=-140.0 aveQ=-288.43 loss=137.86
episode 61  : step=72  reward=-63.0 aveQ=-236.39 loss=149.63
episode 62  : step=110 reward=-55.0 aveQ=-337.73 loss=172.04
episode 63  : step=89  reward=-35.0 aveQ=-276.78 loss=159.25
episode 64  : step=55  reward=-67.0 aveQ=-180.67 loss=148.69
episode 65  : step=55  reward=-31.0 aveQ=-159.59 loss=155.43
episode 66  : step=42  reward=-23.0 aveQ=-126.84 loss=150.69
episode 67  : step=42  reward=-17.0 aveQ=-123.82 loss=156.35
episode 68  : step=110 reward=-34.0 aveQ=-290.41 loss=160.21
episode 69  : step=110 reward=-46.0 aveQ=-295.97 loss=153.42
episode 70  : step=89  reward=-56.0 aveQ=-227.31 loss=165.68
episode 71  : step=72  reward=-26.0 aveQ=-176.96 loss=175.03
episode 72  : step=55  reward=-27.0 aveQ=-126.89 loss=174.48
episode 73  : step=89  reward=-29.0 aveQ=-192.82 loss=162.51
episode 74  : step=55  reward=-22.0 aveQ=-110.90 loss=185.29
episode 75  : step=68  reward=-52.0 aveQ=-152.34 loss=165.42
episode 76  : step=89  reward=-43.0 aveQ=-189.83 loss=172.73
episode 77  : step=72  reward=-36.0 aveQ=-147.28 loss=190.36
episode 78  : step=89  reward=-30.0 aveQ=-165.57 loss=185.77
episode 79  : step=68  reward=-83.0 aveQ=-140.80 loss=177.50
episode 80  : step=55  reward=-21.0 aveQ=-103.89 loss=181.03
episode 81  : step=55  reward=-36.0 aveQ=-102.76 loss=187.71
episode 82  : step=89  reward=-99.0 aveQ=-182.27 loss=198.77
episode 83  : step=55  reward=-19.0 aveQ=-77.79  loss=188.37
episode 84  : step=55  reward=-61.0 aveQ=-98.98  loss=233.63
episode 85  : step=68  reward=-26.0 aveQ=-93.23  loss=187.34
episode 86  : step=72  reward=-33.0 aveQ=-122.70 loss=182.09
episode 87  : step=55  reward=-18.0 aveQ=-62.39  loss=189.85
episode 88  : step=110 reward=-93.0 aveQ=-201.43 loss=190.71
episode 89  : step=72  reward=-40.0 aveQ=-87.04  loss=202.19
episode 90  : step=55  reward=-19.0 aveQ=-55.51  loss=202.98
episode 91  : step=68  reward=-67.0 aveQ=-95.39  loss=216.06
episode 92  : step=110 reward=-40.0 aveQ=-143.07 loss=202.97
episode 93  : step=89  reward=-49.0 aveQ=-121.98 loss=211.19
episode 94  : step=68  reward=-38.0 aveQ=-77.53  loss=241.56
episode 95  : step=110 reward=-37.0 aveQ=-121.72 loss=187.74
episode 96  : step=55  reward=-21.0 aveQ=-23.65  loss=217.77
episode 97  : step=42  reward=-16.0 aveQ=-19.96  loss=195.52
episode 98  : step=42  reward=-14.0 aveQ=-3.06   loss=216.51
episode 99  : step=68  reward=-33.0 aveQ=-66.49  loss=248.29
episode 100 : step=68  reward=-26.0 aveQ=-56.42  loss=209.00
episode 101 : step=110 reward=-43.0 aveQ=-119.84 loss=243.20
episode 102 : step=55  reward=-33.0 aveQ=-44.69  loss=202.37
episode 103 : step=55  reward=-34.0 aveQ=-33.20  loss=201.98
episode 104 : step=68  reward=-26.0 aveQ=-58.62  loss=212.34
episode 105 : step=72  reward=-28.0 aveQ=-6.67   loss=218.36
episode 106 : step=42  reward=-32.0 aveQ=+11.62  loss=203.94
episode 107 : step=42  reward=-17.0 aveQ=-14.73  loss=198.95
episode 108 : step=89  reward=-45.0 aveQ=-39.68  loss=204.65
episode 109 : step=55  reward=-26.0 aveQ=-5.90   loss=175.26
episode 110 : step=42  reward=-21.0 aveQ=+8.08   loss=200.47
episode 111 : step=68  reward=-46.0 aveQ=-69.31  loss=209.09
episode 112 : step=72  reward=-44.0 aveQ=-41.94  loss=230.81
episode 113 : step=89  reward=-32.0 aveQ=-21.09  loss=214.07
episode 114 : step=89  reward=-70.0 aveQ=-85.93  loss=206.86
episode 115 : step=68  reward=-40.0 aveQ=-18.54  loss=238.64
episode 116 : step=55  reward=-35.0 aveQ=-27.10  loss=227.75
episode 117 : step=89  reward=-48.0 aveQ=-6.30   loss=236.88
episode 118 : step=68  reward=-24.0 aveQ=+41.23  loss=230.34
episode 119 : step=89  reward=-39.0 aveQ=-42.44  loss=234.25
episode 120 : step=110 reward=-49.0 aveQ=-49.08  loss=273.27
episode 121 : step=89  reward=-43.0 aveQ=-77.88  loss=222.88
episode 122 : step=55  reward=-27.0 aveQ=+9.25   loss=216.38
episode 123 : step=110 reward=-51.0 aveQ=-31.65  loss=246.40
episode 124 : step=89  reward=-29.0 aveQ=+45.81  loss=247.37
episode 125 : step=42  reward=-17.0 aveQ=+42.91  loss=267.84
episode 126 : step=89  reward=-51.0 aveQ=-68.81  loss=240.62
episode 127 : step=55  reward=-80.0 aveQ=-40.02  loss=226.51
episode 128 : step=42  reward=-22.0 aveQ=+2.26   loss=235.20
episode 129 : step=89  reward=-30.0 aveQ=+16.23  loss=219.32
episode 130 : step=89  reward=-56.0 aveQ=-50.34  loss=241.70
episode 131 : step=68  reward=-46.0 aveQ=-30.23  loss=250.23
episode 132 : step=68  reward=-20.0 aveQ=+86.26  loss=252.51
episode 133 : step=89  reward=-33.0 aveQ=+68.30  loss=230.90
episode 134 : step=89  reward=-34.0 aveQ=-15.50  loss=240.20
episode 135 : step=68  reward=-37.0 aveQ=-22.05  loss=223.85
episode 136 : step=68  reward=-32.0 aveQ=-3.98   loss=251.07
episode 137 : step=55  reward=-41.0 aveQ=+7.82   loss=208.18
episode 138 : step=89  reward=-58.0 aveQ=-70.91  loss=227.06
episode 139 : step=89  reward=-40.0 aveQ=-14.78  loss=225.99
episode 140 : step=55  reward=-36.0 aveQ=-38.86  loss=242.74
episode 141 : step=89  reward=-76.0 aveQ=-3.53   loss=244.84
episode 142 : step=55  reward=-30.0 aveQ=+2.69   loss=241.62
episode 143 : step=55  reward=-39.0 aveQ=-24.41  loss=207.44
episode 144 : step=42  reward=-20.0 aveQ=+47.98  loss=239.25
episode 145 : step=89  reward=-83.0 aveQ=-122.09 loss=235.41
episode 146 : step=89  reward=-43.0 aveQ=-30.41  loss=221.03
episode 147 : step=42  reward=-17.0 aveQ=+23.86  loss=235.75
episode 148 : step=110 reward=-48.0 aveQ=-65.72  loss=231.29
episode 149 : step=68  reward=-35.0 aveQ=+92.87  loss=224.80
episode 150 : step=68  reward=-29.0 aveQ=+60.75  loss=220.27
episode 151 : step=72  reward=-23.0 aveQ=+21.65  loss=226.04
episode 152 : step=55  reward=-36.0 aveQ=+64.19  loss=215.48
episode 153 : step=68  reward=-47.0 aveQ=-35.58  loss=248.32
episode 154 : step=89  reward=-41.0 aveQ=+17.10  loss=225.47
episode 155 : step=89  reward=-33.0 aveQ=+50.17  loss=231.15
episode 156 : step=110 reward=-62.0 aveQ=-57.02  loss=224.63
episode 157 : step=55  reward=-22.0 aveQ=+113.23 loss=188.00
episode 158 : step=68  reward=-33.0 aveQ=+20.66  loss=221.23
episode 159 : step=55  reward=-29.0 aveQ=+43.81  loss=222.64
episode 160 : step=110 reward=-36.0 aveQ=+21.73  loss=198.99
episode 161 : step=89  reward=-32.0 aveQ=+11.49  loss=204.02
episode 162 : step=55  reward=-22.0 aveQ=+50.35  loss=206.30
episode 163 : step=55  reward=-18.0 aveQ=+49.34  loss=211.71
episode 164 : step=110 reward=-45.0 aveQ=+76.56  loss=190.13
episode 165 : step=68  reward=-31.0 aveQ=+55.25  loss=198.94
episode 166 : step=55  reward=-25.0 aveQ=+63.28  loss=203.09
episode 167 : step=55  reward=-42.0 aveQ=+12.16  loss=234.70
episode 168 : step=55  reward=-23.0 aveQ=+37.36  loss=166.54
episode 169 : step=55  reward=-33.0 aveQ=+30.44  loss=181.33
episode 170 : step=68  reward=-32.0 aveQ=+113.10 loss=153.74
episode 171 : step=55  reward=-32.0 aveQ=+26.00  loss=168.72
episode 172 : step=89  reward=-33.0 aveQ=-11.74  loss=194.41
episode 173 : step=55  reward=-19.0 aveQ=+55.76  loss=146.30
episode 174 : step=110 reward=-46.0 aveQ=+50.14  loss=145.47
episode 175 : step=110 reward=-43.0 aveQ=+63.61  loss=153.46
episode 176 : step=89  reward=-30.0 aveQ=+51.77  loss=166.54
episode 177 : step=89  reward=-50.0 aveQ=+48.95  loss=138.46
episode 178 : step=68  reward=-28.0 aveQ=+35.30  loss=131.46
episode 179 : step=89  reward=-51.0 aveQ=-20.48  loss=124.51
episode 180 : step=72  reward=-26.0 aveQ=+67.70  loss=111.54
episode 181 : step=89  reward=-31.0 aveQ=+86.66  loss=123.43
episode 182 : step=68  reward=-25.0 aveQ=+18.53  loss=107.63
episode 183 : step=89  reward=-30.0 aveQ=+75.60  loss=96.50
episode 184 : step=89  reward=-30.0 aveQ=+91.33  loss=87.36
episode 185 : step=55  reward=-17.0 aveQ=+53.86  loss=87.99
episode 186 : step=89  reward=-44.0 aveQ=+26.42  loss=78.83
episode 187 : step=72  reward=-56.0 aveQ=+33.10  loss=64.76
episode 188 : step=55  reward=-26.0 aveQ=+0.30   loss=66.04
episode 189 : step=42  reward=-19.0 aveQ=+14.72  loss=63.22
episode 190 : step=89  reward=-53.0 aveQ=+6.85   loss=59.90
episode 191 : step=89  reward=-34.0 aveQ=+43.07  loss=56.02
episode 192 : step=68  reward=-27.0 aveQ=+35.62  loss=50.48
episode 193 : step=110 reward=-65.0 aveQ=-2.40   loss=47.59
episode 194 : step=72  reward=-29.0 aveQ=+14.06  loss=40.80
episode 195 : step=55  reward=-26.0 aveQ=+12.54  loss=43.48
episode 196 : step=72  reward=-33.0 aveQ=-4.54   loss=45.50
episode 197 : step=42  reward=-15.0 aveQ=+15.62  loss=30.06
episode 198 : step=89  reward=-47.0 aveQ=+19.28  loss=30.45
episode 199 : step=68  reward=-56.0 aveQ=-1.71   loss=28.83
episode 200 : step=89  reward=-26.0 aveQ=+43.05  loss=28.10
episode 201 : step=89  reward=-57.0 aveQ=-1.93   loss=26.92
episode 202 : step=42  reward=-27.0 aveQ=+3.85   loss=22.89
episode 203 : step=110 reward=-59.0 aveQ=+20.86  loss=24.01
episode 204 : step=72  reward=-33.0 aveQ=+18.58  loss=22.32
episode 205 : step=89  reward=-30.0 aveQ=+19.14  loss=19.98
episode 206 : step=55  reward=-23.0 aveQ=+9.93   loss=18.24
episode 207 : step=55  reward=-27.0 aveQ=+5.87   loss=17.86
episode 208 : step=89  reward=-80.0 aveQ=-3.66   loss=16.75
episode 209 : step=89  reward=-40.0 aveQ=+21.84  loss=17.62
episode 210 : step=72  reward=-30.0 aveQ=+2.25   loss=15.23
episode 211 : step=89  reward=-45.0 aveQ=+12.20  loss=12.41
episode 212 : step=68  reward=-33.0 aveQ=-7.26   loss=13.07
